type,dust,wr,games,duration,card_0,card_1,card_2,card_3,card_4,card_5,card_6,card_7,card_8,card_9,card_10,card_11,card_12,card_13,card_14,card_15,card_16,card_17,card_18,card_19,card_20,card_21,card_22,card_23,card_24,card_25,card_26,card_27,card_28,card_29,wins,hero
Galakrond Warlock,12440,0.531,1200,9.4,Sacrificial Pact,Mortal Coil,Plague of Flames,Nether Breath,Zephrys the Great,Bad Luck Albatross,Dark Skies,Dragonblight Cultist,Devoted Maniac,Fiendish Rites,Veiled Worshipper,Crazed Netherwing,Shield of Galakrond,Zilliax,Kronx Dragonhoof,"Galakrond, the Wretched",Lord Godfrey,Dragonqueen Alexstrasza,,,,,,,,,,,,,637.2,Warlock
Highlander Mage,20840,0.531,1300,8.6,Arcane Breath,Ray of Frost,Book of Specters,Doomsayer,Firetree Witchdoctor,Zephrys the Great,Arcane Amplifier,Arcane Intellect,Bad Luck Albatross,Frost Nova,SN1P-SN4P,Stargazer Luna,Arcane Keysmith,Conjurer's Calling,Twilight Drake,"Malygos, Aspect of Magic",Zilliax,Blizzard,Dragoncaster,Khartut Defender,Reno the Relicologist,Flamestrike,Luna's Pocket Galaxy,Siamat,Power of Creation,Tortollan Pilgrim,Alexstrasza,Dragonqueen Alexstrasza,Kalecgos,Mountain Giant,690.3000000000001,Mage
Galakrond Rogue,13660,0.531,4000,8.4,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Edwin VanCleef,EVIL Miscreant,Seal Fate,SN1P-SN4P,Devoted Maniac,Boompistol Bully,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,2124.0,Rogue
Galakrond Shaman,7960,0.53,1600,9.2,Mutate,Earth Shock,Sludge Slurper,Invocation of Frost,Novice Engineer,Far Sight,Mana Tide Totem,Mind Control Tech,Devoted Maniac,Dragon's Pack,Faceless Corruptor,Shield of Galakrond,Corrupt Elementalist,Kronx Dragonhoof,"Galakrond, the Tempest",Mogu Fleshshaper,Shudderwock,,,,,,,,,,,,,,848.0,Shaman
Galakrond Rogue,10820,0.53,1000,8.9,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Edwin VanCleef,EVIL Miscreant,Seal Fate,SI:7 Agent,Devoted Maniac,Lifedrinker,Spirit of the Shark,Leeroy Jenkins,Shield of Galakrond,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,,530.0,Rogue
Quest Druid,8920,0.53,10000,9.0,Innervate,Untapped Potential,Crystal Merchant,Power of the Wild,Rising Winds,Wrath,Ferocious Howl,Wardruid Loti,Flobbidinous Floop,Sky Gen'ral Kragg,Swipe,Anubisath Defender,Boompistol Bully,Oasis Surger,Starfall,Hidden Oasis,Nourish,"Ysera, Unleashed",,,,,,,,,,,,,5300.0,Druid
Galakrond Warrior,6340,0.53,5900,7.2,Inner Rage,Risky Skipper,Town Crier,Armorsmith,Battle Rage,Ritual Chopper,Acolyte of Pain,Awaken!,Bloodsworn Mercenary,Bomb Wrangler,Devoted Maniac,Frenzied Felwing,Kor'kron Elite,Scion of Ruin,Shield of Galakrond,Kronx Dragonhoof,"Galakrond, the Unbreakable",,,,,,,,,,,,,,3127.0,Warrior
Galakrond Rogue,11100,0.529,1500,9.5,Backstab,Bloodsail Flybooter,Praise Galakrond!,Sap,Edwin VanCleef,EVIL Miscreant,Magic Carpet,Seal Fate,Devoted Maniac,Lifedrinker,Spirit of the Shark,Twilight Drake,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,"Galakrond, the Nightmare",Sea Giant,Mountain Giant,,,,,,,,,,,,793.5,Rogue
Highlander Mage,20680,0.529,32000,9.0,Arcane Breath,Ray of Frost,Book of Specters,Doomsayer,Firetree Witchdoctor,Zephrys the Great,Arcane Intellect,Frost Nova,SN1P-SN4P,Stargazer Luna,Arcane Keysmith,Bone Wraith,Conjurer's Calling,Escaped Manasaber,Twilight Drake,"Malygos, Aspect of Magic",Zilliax,Blizzard,Dragoncaster,Reno the Relicologist,Flamestrike,Luna's Pocket Galaxy,Siamat,Power of Creation,Tortollan Pilgrim,Alexstrasza,Dragonqueen Alexstrasza,Kalecgos,The Amazing Reno,Mountain Giant,16928.0,Mage
Galakrond Warrior,6280,0.529,19000,7.2,Inner Rage,Risky Skipper,Town Crier,Battle Rage,Ritual Chopper,Acolyte of Pain,Awaken!,Bloodsworn Mercenary,Bomb Wrangler,Devoted Maniac,Frenzied Felwing,Kor'kron Elite,Scion of Ruin,Shield of Galakrond,Kronx Dragonhoof,"Galakrond, the Unbreakable",,,,,,,,,,,,,,,10051.0,Warrior
Highlander Mage,20000,0.529,1100,9.0,Arcane Breath,Ray of Frost,Acidic Swamp Ooze,Book of Specters,Firetree Witchdoctor,Zephrys the Great,Arcane Intellect,Frost Nova,Scalerider,SN1P-SN4P,Stargazer Luna,Azure Explorer,Bone Wraith,Conjurer's Calling,Troll Batrider,Twilight Drake,"Malygos, Aspect of Magic",Zilliax,Blizzard,Dragoncaster,Reno the Relicologist,Flamestrike,Luna's Pocket Galaxy,Siamat,Power of Creation,Tortollan Pilgrim,Alexstrasza,Dragonqueen Alexstrasza,Kalecgos,Mountain Giant,581.9,Mage
Galakrond Rogue,10980,0.529,1200,8.5,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Edwin VanCleef,EVIL Miscreant,Seal Fate,SI:7 Agent,Lifedrinker,Spirit of the Shark,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,,634.8000000000001,Rogue
Highlander Mage,17920,0.529,4400,9.7,Arcane Breath,Ray of Frost,Doomsayer,Firetree Witchdoctor,Zephrys the Great,Arcane Intellect,Flame Ward,Frost Nova,SN1P-SN4P,Arcane Keysmith,Azure Explorer,Polymorph,Twilight Drake,"Malygos, Aspect of Magic",Zilliax,Blizzard,Dragoncaster,Khartut Defender,Reno the Relicologist,Flamestrike,Siamat,Power of Creation,Tortollan Pilgrim,Alexstrasza,Dragonqueen Alexstrasza,Kalecgos,Puzzle Box of Yogg-Saron,Pyroblast,The Amazing Reno,Mountain Giant,2327.6,Mage
Highlander Mage,20680,0.529,5100,9.4,Arcane Breath,Ray of Frost,Book of Specters,Doomsayer,Firetree Witchdoctor,Zephrys the Great,Arcane Intellect,Frost Nova,SN1P-SN4P,Stargazer Luna,Bone Wraith,Conjurer's Calling,Polymorph,Twilight Drake,"Malygos, Aspect of Magic",Zilliax,Blizzard,Dragoncaster,Reno the Relicologist,Flamestrike,Luna's Pocket Galaxy,Siamat,Power of Creation,Tortollan Pilgrim,Alexstrasza,Dragonqueen Alexstrasza,Kalecgos,Puzzle Box of Yogg-Saron,The Amazing Reno,Mountain Giant,2697.9,Mage
Highlander Warrior,18320,0.528,2700,13.1,Eternium Rover,Shield Slam,Town Crier,Dragon Roar,Firetree Witchdoctor,Warpath,Weapons Project,Zephrys the Great,EVIL Quartermaster,Livewire Lance,Ramming Speed,Shield Block,SN1P-SN4P,Vulpera Scoundrel,Molten Breath,Omega Devastator,Restless Mummy,Spellbreaker,War Master Voone,Brawl,Dragonmaw Scorcher,Dyn-o-matic,Harrison Jones,Plague of Wrath,Supercollider,Zilliax,Siamat,"Deathwing, Mad Aspect","Dr. Boom, Mad Genius",Dragonqueen Alexstrasza,1425.6000000000001,Warrior
Quest Hunter,13340,0.528,1000,8.0,Clear the Way,Springpaw,Unseal the Vault,Hench-Clan Hogsteed,Questing Explorer,Desert Spear,Diving Gryphon,SN1P-SN4P,Unleash the Hounds,Bone Wraith,Cult Master,Sky Gen'ral Kragg,Faceless Corruptor,"Halazzi, the Lynx",Leeroy Jenkins,Zilliax,Swarm of Locusts,Veranus,Shu'ma,Sea Giant,,,,,,,,,,,528.0,Hunter
Highlander Mage,20780,0.528,5600,8.9,Arcane Breath,Ray of Frost,Book of Specters,Doomsayer,Firetree Witchdoctor,Zephrys the Great,Arcane Intellect,Frost Nova,SN1P-SN4P,Stargazer Luna,Arcane Keysmith,Bone Wraith,Conjurer's Calling,Polymorph,Twilight Drake,"Malygos, Aspect of Magic",Zilliax,Blizzard,Dragoncaster,Khartut Defender,Reno the Relicologist,Flamestrike,Luna's Pocket Galaxy,Siamat,Power of Creation,Tortollan Pilgrim,Alexstrasza,Dragonqueen Alexstrasza,Kalecgos,Mountain Giant,2956.8,Mage
Holy Wrath Paladin,8640,0.528,8400,9.9,Crystology,Elven Archer,Air Raid,Baleful Banker,Bloodmage Thalnos,Crystalsmith Kangor,Flash of Light,Novice Engineer,Subdue,Wild Pyromancer,Zephrys the Great,Acolyte of Pain,Time Out!,Consecration,Equality,Hammer of Wrath,Prismatic Lens,Truesilver Champion,Holy Wrath,Shrink Ray,Sathrovarr,"Shirvallah, the Tiger",,,,,,,,,4435.2,Paladin
Galakrond Shaman,12200,0.527,2000,8.9,Earth Shock,Earthen Might,Invocation of Frost,Novice Engineer,Electra Stormsurge,Far Sight,Mana Tide Totem,Zentimo,Devoted Maniac,Hex,Dragon's Pack,Shield of Galakrond,Zilliax,Corrupt Elementalist,Kronx Dragonhoof,"Galakrond, the Tempest",Walking Fountain,Shudderwock,,,,,,,,,,,,,1054.0,Shaman
Highlander Mage,15740,0.527,6600,10.0,Arcane Breath,Learn Draconic,Ray of Frost,Doomsayer,Firetree Witchdoctor,Zephrys the Great,Arcane Intellect,Flame Ward,Messenger Raven,Arcane Keysmith,Azure Explorer,Conjurer's Calling,Polymorph,Big Ol' Whelp,Cobalt Spellkin,"Malygos, Aspect of Magic",Zilliax,Blizzard,Dragoncaster,Khartut Defender,Reno the Relicologist,Flamestrike,Luna's Pocket Galaxy,Power of Creation,Tortollan Pilgrim,Alexstrasza,Dragonqueen Alexstrasza,Kalecgos,Puzzle Box of Yogg-Saron,The Amazing Reno,3478.2000000000003,Mage
Galakrond Zoo Warlock,6160,0.527,1600,6.6,Blazing Battlemage,Flame Imp,Grim Rally,Mecharoo,Voidwalker,EVIL Genius,Knife Juggler,Scarab Egg,Dragonblight Cultist,Fiendish Rites,Veiled Worshipper,Faceless Corruptor,Shield of Galakrond,Kronx Dragonhoof,"Galakrond, the Wretched",Sea Giant,,,,,,,,,,,,,,,843.2,Warlock
Highlander Mage,20740,0.527,1300,8.6,Arcane Breath,Ray of Frost,Book of Specters,Doomsayer,Firetree Witchdoctor,Zephrys the Great,Arcane Intellect,Frost Nova,SN1P-SN4P,Stargazer Luna,Arcane Keysmith,Conjurer's Calling,Escaped Manasaber,Twilight Drake,"Malygos, Aspect of Magic",Zilliax,Blizzard,Dragoncaster,Khartut Defender,Reno the Relicologist,Flamestrike,Luna's Pocket Galaxy,Siamat,Power of Creation,Tortollan Pilgrim,Alexstrasza,Dragonqueen Alexstrasza,Kalecgos,The Amazing Reno,Mountain Giant,685.1,Mage
Galakrond Warrior,8080,0.527,1200,7.2,Inner Rage,Eternium Rover,Town Crier,Battle Rage,Cruel Taskmaster,Ritual Chopper,Temple Berserker,Acolyte of Pain,Awaken!,Bloodsworn Mercenary,Devoted Maniac,Kor'kron Elite,Scion of Ruin,Leeroy Jenkins,Shield of Galakrond,Kronx Dragonhoof,"Galakrond, the Unbreakable",,,,,,,,,,,,,,632.4,Warrior
Highlander Mage,18400,0.527,1100,9.7,Arcane Breath,Ancient Mysteries,Faerie Dragon,Firetree Witchdoctor,Frostbolt,Zephrys the Great,Arcane Intellect,Counterspell,Flame Ward,Ice Barrier,SN1P-SN4P,Arcane Keysmith,Conjurer's Calling,Fireball,Polymorph,Twilight Drake,Dragonmaw Scorcher,"Malygos, Aspect of Magic",Rolling Fireball,Zilliax,Dragoncaster,Reno the Relicologist,Flamestrike,Siamat,Jepetto Joybuzz,Power of Creation,Alexstrasza,Dragonqueen Alexstrasza,Kalecgos,Puzzle Box of Yogg-Saron,579.7,Mage
Highlander Galakrond Rogue,18700,0.526,2800,9.6,Backstab,Shadowstep,Dragon's Hoard,Pharaoh Cat,Praise Galakrond!,EVIL Cable Rat,Eviscerate,Sap,Underbelly Fence,Zephrys the Great,Blink Fox,Edwin VanCleef,EVIL Miscreant,Seal Fate,SN1P-SN4P,Devoted Maniac,Hench-Clan Burglar,Lifedrinker,Spirit of the Shark,Vendetta,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",Siamat,Dragonqueen Alexstrasza,1472.8,Rogue
Galakrond Warrior,9640,0.526,5800,7.1,Inner Rage,Eternium Rover,Town Crier,Battle Rage,Cruel Taskmaster,Ritual Chopper,Temple Berserker,Awaken!,Bloodsworn Mercenary,SN1P-SN4P,Devoted Maniac,Kor'kron Elite,Scion of Ruin,Leeroy Jenkins,Shield of Galakrond,Kronx Dragonhoof,"Galakrond, the Unbreakable",,,,,,,,,,,,,,3050.8,Warrior
Holy Wrath Paladin,9040,0.526,14000,9.4,Crystology,Elven Archer,Baleful Banker,Bloodmage Thalnos,Crystalsmith Kangor,Flash of Light,Novice Engineer,Subdue,Wild Pyromancer,Zephrys the Great,Acolyte of Pain,Time Out!,Consecration,Equality,Hammer of Wrath,Prismatic Lens,Truesilver Champion,Holy Wrath,Shrink Ray,Sathrovarr,"Shirvallah, the Tiger",,,,,,,,,,7364.0,Paladin
Quest Galakrond Rogue,12280,0.525,21000,7.9,Backstab,Shadowstep,Bazaar Burglary,Praise Galakrond!,Eviscerate,Licensed Adventurer,Questing Explorer,Edwin VanCleef,EVIL Miscreant,Questing Adventurer,Seal Fate,Devoted Maniac,Sky Gen'ral Kragg,Leeroy Jenkins,Shield of Galakrond,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,,11025.0,Rogue
Galakrond Warrior,10480,0.525,1100,8.5,Eternium Rover,Shield Slam,Town Crier,Ritual Chopper,Warpath,Awaken!,Clockwork Goblin,EVIL Quartermaster,Shield Block,Devoted Maniac,Scion of Ruin,Wrenchcalibur,Shield of Galakrond,Kronx Dragonhoof,Blastmaster Boom,"Galakrond, the Unbreakable","Deathwing, Mad Aspect",,,,,,,,,,,,,,577.5,Warrior
Galakrond Rogue,18620,0.525,1200,8.2,Backstab,Shadowstep,Dragon's Hoard,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Skyvateer,Underbelly Fence,Zephrys the Great,Bad Luck Albatross,Edwin VanCleef,EVIL Miscreant,Hench-Clan Thug,Seal Fate,SI:7 Agent,SN1P-SN4P,Devoted Maniac,Vendetta,Boompistol Bully,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",Siamat,Dragonqueen Alexstrasza,630.0,Rogue
Highlander Mage,18760,0.525,5200,9.3,Arcane Breath,Learn Draconic,Ray of Frost,Doomsayer,Firetree Witchdoctor,Frostbolt,Zephrys the Great,Arcane Intellect,Frost Nova,Scalerider,SN1P-SN4P,Frizz Kindleroost,Polymorph,Twilight Drake,Big Ol' Whelp,Cobalt Spellkin,"Malygos, Aspect of Magic",Zilliax,Blizzard,Dragoncaster,Reno the Relicologist,Crowd Roaster,Flamestrike,Siamat,Power of Creation,Tortollan Pilgrim,Alexstrasza,Dragonqueen Alexstrasza,Kalecgos,Puzzle Box of Yogg-Saron,2730.0,Mage
Murloc Paladin,8880,0.524,1000,5.8,Grimscale Oracle,Murloc Tidecaller,Murmy,Toxfin,Bluegill Warrior,Fishflinger,Sir Finley of the Sands,Tasty Flyfish,Zephrys the Great,Coldlight Seer,Murloc Warleader,Nightmare Amalgam,Murloc Tastyfin,Prismatic Lens,Scalelord,Tip the Scales,Dragonqueen Alexstrasza,,,,,,,,,,,,,,524.0,Paladin
Hand Warlock,12920,0.524,1200,7.3,Mortal Coil,Soulfire,Neferset Ritualist,Nether Breath,Sunfury Protector,Bad Luck Albatross,Dark Skies,Faceless Rager,Nightmare Amalgam,Dragonmaw Poacher,Shadowflame,Twilight Drake,Boompistol Bully,Crazed Netherwing,Leeroy Jenkins,Zilliax,Abyssal Summoner,Lord Godfrey,Siamat,Valdris Felgorge,Alexstrasza,Mountain Giant,,,,,,,,,628.8000000000001,Warlock
Malygos OTK Rogue,13400,0.524,1700,8.7,Backstab,Preparation,Praise Galakrond!,Sinister Strike,Bloodmage Thalnos,Eviscerate,Sap,Edwin VanCleef,EVIL Miscreant,Fan of Knives,Seal Fate,Devoted Maniac,Umbral Skulker,Shield of Galakrond,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",Malygos,,,,,,,,,,,,890.8000000000001,Rogue
Highlander Mage,20480,0.524,1000,8.9,Arcane Breath,Ray of Frost,Book of Specters,Doomsayer,Firetree Witchdoctor,Zephrys the Great,Arcane Amplifier,Arcane Intellect,Bad Luck Albatross,Frost Nova,SN1P-SN4P,Stargazer Luna,Arcane Keysmith,Bone Wraith,Conjurer's Calling,Twilight Drake,"Malygos, Aspect of Magic",Zilliax,Blizzard,Dragoncaster,Khartut Defender,Reno the Relicologist,Flamestrike,Luna's Pocket Galaxy,Siamat,Power of Creation,Tortollan Pilgrim,Alexstrasza,Dragonqueen Alexstrasza,Kalecgos,524.0,Mage
Quest Druid,13680,0.524,1000,9.0,Innervate,Pounce,Untapped Potential,Crystal Merchant,Rising Winds,Wrath,Zephrys the Great,Ferocious Howl,Wardruid Loti,Flobbidinous Floop,Swipe,Anubisath Defender,Elise the Enlightened,Oasis Surger,Starfall,Hidden Oasis,Nourish,Cenarius,Dragonqueen Alexstrasza,,,,,,,,,,,,524.0,Druid
Embiggen Druid,6820,0.523,1200,6.7,Embiggen,Strength in Numbers,Breath of Dreams,Bad Luck Albatross,Savage Roar,SN1P-SN4P,Witching Hour,Dragonmaw Poacher,Evasive Feywing,Spellbreaker,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,,627.6,Druid
Galakrond Rogue,10960,0.523,1600,9.6,Backstab,Dragon's Hoard,Pharaoh Cat,Praise Galakrond!,Underbelly Fence,Blink Fox,Edwin VanCleef,EVIL Miscreant,Seal Fate,Devoted Maniac,Hench-Clan Burglar,Vendetta,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,,,836.8000000000001,Rogue
Quest Resurrect Priest,12660,0.523,1100,8.9,Forbidden Words,Activate the Obelisk,Spirit of the Dead,Penance,Breath of the Infinite,Shadow Word: Death,Archmage Vargoth,Mass Dispel,Psychopomp,Convincing Infiltrator,Holy Nova,Mass Hysteria,Sandhoof Waterbearer,Zilliax,Khartut Defender,"Bwonsamdi, the Dead",Batterhead,Catrina Muerte,Mass Resurrection,Plague of Death,Zerek's Cloning Gallery,,,,,,,,,,575.3000000000001,Priest
Highlander Mage,20680,0.523,1200,9.2,Arcane Breath,Ray of Frost,Acidic Swamp Ooze,Book of Specters,Doomsayer,Firetree Witchdoctor,Zephrys the Great,Arcane Intellect,Frost Nova,SN1P-SN4P,Stargazer Luna,Arcane Keysmith,Bone Wraith,Conjurer's Calling,Polymorph,"Malygos, Aspect of Magic",Zilliax,Blizzard,Dragoncaster,Khartut Defender,Reno the Relicologist,Flamestrike,Luna's Pocket Galaxy,Siamat,Power of Creation,Tortollan Pilgrim,Alexstrasza,Dragonqueen Alexstrasza,Kalecgos,Puzzle Box of Yogg-Saron,627.6,Mage
Galakrond Warlock,15360,0.522,5000,9.3,Sacrificial Pact,Mortal Coil,Plague of Flames,Nether Breath,Zephrys the Great,Chaos Gazer,Dark Skies,Dragonblight Cultist,SN1P-SN4P,Devoted Maniac,Veiled Worshipper,Crazed Netherwing,Shield of Galakrond,Zilliax,Kronx Dragonhoof,"Galakrond, the Wretched",Lord Godfrey,Alexstrasza,Dragonqueen Alexstrasza,,,,,,,,,,,,2610.0,Warlock
Wall Druid,9200,0.522,4100,8.6,Innervate,Strength in Numbers,Breath of Dreams,Wrath,Ferocious Howl,Wild Growth,Witching Hour,Archmage Vargoth,Predatory Instincts,Swipe,Witchwood Grizzly,Zilliax,Emerald Explorer,Evasive Drakonid,Winged Guardian,Alexstrasza,Oondasta,"Ysera, Unleashed",,,,,,,,,,,,,2140.2000000000003,Druid
Galakrond Rogue,13660,0.522,2300,8.5,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Edwin VanCleef,EVIL Miscreant,Seal Fate,SN1P-SN4P,Devoted Maniac,Escaped Manasaber,Boompistol Bully,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,1200.6000000000001,Rogue
Pure Paladin,5420,0.521,1000,7.7,Brazen Zealot,Crystology,Glow-Tron,Micro Mummy,Sanctuary,Sandwasp Queen,Aldor Peacekeeper,Bronze Explorer,Sky Claw,Blessing of Kings,Consecration,Lightforged Zealot,Amber Watcher,Pharaoh's Blessing,Lightforged Crusader,Tirion Fordring,,,,,,,,,,,,,,,521.0,Paladin
Highlander Warrior,18380,0.521,3400,12.9,Eternium Rover,Shield Slam,Town Crier,Dragon Roar,Firetree Witchdoctor,Warpath,Weapons Project,Zephrys the Great,EVIL Quartermaster,Livewire Lance,Ramming Speed,Shield Block,SN1P-SN4P,Vulpera Scoundrel,Molten Breath,Omega Devastator,Restless Mummy,War Master Voone,Brawl,Cobalt Spellkin,Dragonmaw Scorcher,Dyn-o-matic,Harrison Jones,Plague of Wrath,Supercollider,Zilliax,Siamat,"Deathwing, Mad Aspect","Dr. Boom, Mad Genius",Dragonqueen Alexstrasza,1771.4,Warrior
Quest Druid,9320,0.521,1400,9.6,Innervate,Untapped Potential,Breath of Dreams,Crystal Merchant,Wrath,Ferocious Howl,Wardruid Loti,Flobbidinous Floop,Swipe,Twilight Drake,Anubisath Defender,Oasis Surger,Starfall,Emerald Explorer,Hidden Oasis,Nourish,"Ysera, Unleashed",,,,,,,,,,,,,,729.4,Druid
Quest Druid,10520,0.521,3700,9.7,Innervate,Untapped Potential,Worthy Expedition,Crystal Merchant,Rising Winds,Steel Beetle,Wrath,Zephrys the Great,Ferocious Howl,Wardruid Loti,Flobbidinous Floop,Swipe,Anubisath Defender,Oasis Surger,Starfall,Hidden Oasis,Nourish,"Ysera, Unleashed",,,,,,,,,,,,,1927.7,Druid
Malygos OTK Rogue,14280,0.521,1300,8.8,Backstab,Pharaoh Cat,Praise Galakrond!,Sinister Strike,Bloodmage Thalnos,Eviscerate,Sap,Edwin VanCleef,EVIL Miscreant,Seal Fate,Devoted Maniac,Umbral Skulker,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",Malygos,,,,,,,,,,,,677.3000000000001,Rogue
Quest Druid,11800,0.521,1100,9.1,Innervate,Floop's Glorious Gloop,Untapped Potential,Worthy Expedition,Crystal Merchant,Power of the Wild,Rising Winds,Steel Beetle,Wrath,BEEEES!!!,Wardruid Loti,Flobbidinous Floop,Anubisath Defender,Oasis Surger,Starfall,Hidden Oasis,Nourish,Cenarius,"Ysera, Unleashed",,,,,,,,,,,,573.1,Druid
Galakrond Warrior,8260,0.521,1700,7.9,Inner Rage,Eternium Rover,Spirit of the Rhino,Town Crier,Acidic Swamp Ooze,Ritual Chopper,Acolyte of Pain,Awaken!,Bloodsworn Mercenary,EVIL Quartermaster,Frothing Berserker,Devoted Maniac,Kor'kron Elite,Scion of Ruin,Spellbreaker,Leeroy Jenkins,Shield of Galakrond,Kronx Dragonhoof,"Galakrond, the Unbreakable",,,,,,,,,,,,885.7,Warrior
Highlander Mage,20420,0.521,1400,8.7,Arcane Breath,Ray of Frost,Doomsayer,Firetree Witchdoctor,Zephrys the Great,Arcane Intellect,Frost Nova,SN1P-SN4P,Stargazer Luna,Arcane Keysmith,Bone Wraith,Conjurer's Calling,Polymorph,Spellbreaker,Twilight Drake,"Malygos, Aspect of Magic",Zilliax,Blizzard,Dragoncaster,Khartut Defender,Reno the Relicologist,Flamestrike,Luna's Pocket Galaxy,Siamat,Power of Creation,Tortollan Pilgrim,Alexstrasza,Dragonqueen Alexstrasza,Kalecgos,Mountain Giant,729.4,Mage
Combo Priest,4960,0.52,1000,6.4,Circle of Healing,Silence,Beaming Sidekick,Cleric of Scales,Inner Fire,Northshire Cleric,Potion Vendor,Power Word: Shield,Divine Spirit,Injured Tol'vir,Wild Pyromancer,Magic Carpet,High Priest Amet,Twilight Drake,Big Ol' Whelp,"Bwonsamdi, the Dead",,,,,,,,,,,,,,,520.0,Priest
Dragon Hunter,6560,0.52,7300,5.8,Blazing Battlemage,Dwarven Sharpshooter,Springpaw,Corrosive Breath,Faerie Dragon,Firetree Witchdoctor,Tasty Flyfish,Primordial Explorer,Scalerider,Stormhammer,Dragonbane,Evasive Feywing,Big Ol' Whelp,Boompistol Bully,Leeroy Jenkins,Rotnest Drake,Veranus,,,,,,,,,,,,,,3796.0,Hunter
Murloc Paladin,10600,0.52,5400,5.7,Grimscale Oracle,Murloc Tidecaller,Murmy,Toxfin,Bluegill Warrior,Fishflinger,Sir Finley of the Sands,Zephrys the Great,Coldlight Seer,Murloc Warleader,Nightmare Amalgam,Dragonmaw Poacher,Murloc Tastyfin,Prismatic Lens,Truesilver Champion,Leeroy Jenkins,Tip the Scales,Dragonqueen Alexstrasza,,,,,,,,,,,,,2808.0,Paladin
Quest Druid,10680,0.52,1600,9.1,Innervate,Untapped Potential,Worthy Expedition,Crystal Merchant,Wrath,Ferocious Howl,Wardruid Loti,Witching Hour,Archmage Vargoth,Flobbidinous Floop,Swipe,Anubisath Defender,Oasis Surger,Starfall,Hidden Oasis,Nourish,Winged Guardian,"Ysera, Unleashed",,,,,,,,,,,,,832.0,Druid
Galakrond Rogue,13860,0.52,1200,8.7,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Edwin VanCleef,EVIL Miscreant,Seal Fate,SN1P-SN4P,Devoted Maniac,Dragonmaw Poacher,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,624.0,Rogue
Galakrond Rogue,12060,0.519,8100,8.5,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Edwin VanCleef,EVIL Miscreant,Seal Fate,Devoted Maniac,Boompistol Bully,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,,4203.900000000001,Rogue
Embiggen Druid,6680,0.519,7400,6.8,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Bad Luck Albatross,Scalerider,SN1P-SN4P,Evasive Feywing,Frizz Kindleroost,Big Ol' Whelp,Boompistol Bully,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,,,3840.6,Druid
